REGION,STATE,CITY,POPULATION
South,Texas,"Temple, TX",74503
South,Texas,"Missouri City, TX",74497
Midwest,South Dakota,"Rapid City, SD",74421
Midwest,Michigan,"Rochester Hills, MI",74205
Pacific,California,"Rancho Cordova, CA",73563
Pacific,California,"Turlock, CA",73556
Mountain,Montana,"Missoula, MT",73340
Midwest,Michigan,"Southfield, MI",73208
South,Georgia,"Albany, GA",73179
South,South Carolina,"Rock Hill, SC",73068
Pacific,Washington,"Pasco, WA",73013
Midwest,North Dakota,"Bismarck, ND",72865
Northeast,Connecticut,"New Britain, CT",72710
Midwest,Wisconsin,"Waukesha, WI",72489
South,North Carolina,"Jacksonville, NC",72447
Midwest,Indiana,"Lafayette, IN",72390
Midwest,Illinois,"Decatur, IL",72174
Pacific,California,"Pittsburg, CA",72141
Northeast,Rhode Island,"Pawtucket, RI",72001
Mountain,Arizona,"Flagstaff, AZ",71975
South,Florida,"Lauderhill, FL",71970
South,Mississippi,"Gulfport, MS",71822
Pacific,California,"Redlands, CA",71554
South,Maryland,"Frederick, MD",71408
Northeast,New Jersey,"Passaic, NJ",71247
South,Delaware,"Wilmington, DE",71106
South,Florida,"Kissimmee, FL",71104
Pacific,California,"Lynwood, CA",71099
Midwest,Minnesota,"Maple Grove, MN",71066
Mountain,Utah,"South Jordan, UT",70954
South,Florida,"Weston, FL",70944
Midwest,Ohio,"Canton, OH",70909
South,Texas,"Georgetown, TX",70685
South,Texas,"North Richland Hills, TX",70441
Northeast,New Jersey,"Union City, NJ",70387
Midwest,Missouri,"St. Charles, MO",70329
South,Florida,"Homestead, FL",69907
Pacific,California,"Walnut Creek, CA",69773
Midwest,Minnesota,"Woodbury, MN",69756
Pacific,California,"Davis, CA",68986
South,Texas,"Mansfield, TX",68928
Pacific,Washington,"Marysville, WA",68864
South,Florida,"Delray Beach, FL",68749
South,Maryland,"Gaithersburg, MD",68710
Northeast,New York,"Mount Vernon, NY",68703
Midwest,Indiana,"Muncie, IN",68625
Midwest,Wisconsin,"Eau Claire, WI",68587
South,Louisiana,"Bossier City, LA",68554
Mountain,Arizona,"Buckeye, AZ",68453
South,Maryland,"Rockville, MD",68401
Mountain,Colorado,"Broomfield, CO",68341
Pacific,California,"Yorba Linda, CA",68229
South,South Carolina,"Greenville, SC",68219
South,Alabama,"Dothan, AL",68202
South,Florida,"Daytona Beach, FL",68055
Midwest,Minnesota,"St. Cloud, MN",67984
Pacific,California,"Redondo Beach, CA",67908
Pacific,California,"Camarillo, CA",67845
Midwest,Iowa,"Waterloo, IA",67587
South,Louisiana,"Kenner, LA",67451
Pacific,California,"South San Francisco, CA",67429
Northeast,New Jersey,"Bayonne, NJ",67186
Pacific,California,"Palo Alto, CA",67178
South,Texas,"Victoria, TX",67106
South,Kentucky,"Bowling Green, KY",67067
Northeast,Maine,"Portland, ME",66882
Pacific,California,"Yuba City, CA",66860
