REGION,STATE,CITY,POPULATION
Northeast,Pennsylvania,"York, PA",44132
South,Florida,"North Miami Beach, FL",44124
Mountain,Utah,"Bountiful, UT",44107
Northeast,Pennsylvania,"Altoona, PA",44098
Midwest,Iowa,"Urbandale, IA",43592
Pacific,California,"Lompoc, CA",43542
South,Florida,"Winter Garden, FL",43536
South,Texas,"Kyle, TX",43480
Northeast,Massachusetts,"Salem, MA",43415
Mountain,Utah,"Riverton, UT",43344
Pacific,California,"San Bruno, CA",43299
South,Georgia,"Peachtree Corners, GA",43268
Midwest,Illinois,"DeKalb, IL",43193
Midwest,Minnesota,"Moorhead, MN",43122
Northeast,New Jersey,"Linden, NJ",43056
Northeast,New Hampshire,"Concord, NH",43019
South,Arkansas,"Pine Bluff, AR",42984
Mountain,Arizona,"Sierra Vista, AZ",42912
Midwest,Missouri,"Jefferson City, MO",42895
Pacific,California,"Rohnert Park, CA",42838
South,Florida,"Ormond Beach, FL",42816
Midwest,Wisconsin,"Fond du Lac, WI",42809
Pacific,California,"Brea, CA",42777
Pacific,California,"Bell Gardens, CA",42747
Mountain,Arizona,"Prescott, AZ",42731
South,Texas,"The Colony, TX",42721
South,Tennessee,"Brentwood, TN",42667
South,South Carolina,"Goose Creek, SC",42619
Northeast,Massachusetts,"Pittsfield, MA",42591
Midwest,Ohio,"Fairfield, OH",42566
Pacific,California,"Rancho Palos Verdes, CA",42364
Midwest,Minnesota,"Mankato, MN",42264
Northeast,Vermont,"Burlington, VT",42239
Midwest,Illinois,"Moline, IL",42231
Pacific,Washington,"Edmonds, WA",42209
Midwest,Illinois,"Urbana, IL",41989
Midwest,Michigan,"Midland, MI",41950
South,Texas,"Coppell, TX",41941
South,Texas,"Sherman, TX",41917
Northeast,Massachusetts,"Beverly, MA",41816
Northeast,Rhode Island,"Woonsocket, RI",41759
Pacific,California,"Oakley, CA",41714
Northeast,Massachusetts,"Westfield, MA",41700
Midwest,Illinois,"Belleville, IL",41649
Northeast,Massachusetts,"Leominster, MA",41615
Midwest,Iowa,"Cedar Falls, IA",41570
Pacific,California,"Campbell, CA",41544
South,Virginia,"Manassas, VA",41501
Northeast,Connecticut,"Shelton, CT",41397
Midwest,Ohio,"Findlay, OH",41321
Pacific,California,"La Quinta, CA",41304
South,Florida,"Winter Haven, FL",41280
South,Texas,"Huntsville, TX",41277
South,Virginia,"Danville, VA",41130
Pacific,Washington,"Bremerton, WA",41041
Midwest,Ohio,"Grove City, OH",41022
Pacific,Washington,"Puyallup, WA",41001
Midwest,Minnesota,"Maplewood, MN",40918
Midwest,Minnesota,"Shakopee, MN",40893
Northeast,Pennsylvania,"Wilkes-Barre, PA",40806
Northeast,Massachusetts,"Fitchburg, MA",40793
South,Florida,"Oviedo, FL",40785
Midwest,Kansas,"Hutchinson, KS",40772
South,Florida,"Greenacres, FL",40719
South,North Carolina,"Hickory, NC",40611
Mountain,Colorado,"Brighton, CO",40562
Mountain,Arizona,"Apache Junction, AZ",40538
Pacific,California,"San Gabriel, CA",40514
South,Kentucky,"Covington, KY",40455
Midwest,Illinois,"Crystal Lake, IL",40421
South,Georgia,"Gainesville, GA",40359
South,Texas,"Weslaco, TX",40358
Pacific,California,"Calexico, CA",40351
Northeast,Massachusetts,"Holyoke, MA",40341
Pacific,California,"La Puente, CA",40322
South,Maryland,"Hagerstown, MD",40306
Midwest,Illinois,"Quincy, IL",40303
Midwest,Ohio,"Lancaster, OH",40280
Mountain,Arizona,"Bullhead City, AZ",40252
Northeast,Massachusetts,"Chelsea, MA",40227
South,Texas,"Schertz, TX",40092
South,South Carolina,"Sumter, SC",39982
Northeast,Massachusetts,"Marlborough, MA",39873
South,Alabama,"Florence, AL",39852
South,Texas,"Friendswood, TX",39839
South,Florida,"Hallandale Beach, FL",39831
Midwest,Wisconsin,"New Berlin, WI",39740
Midwest,Ohio,"Westerville, OH",39737
Northeast,Massachusetts,"Woburn, MA",39701
South,Tennessee,"Spring Hill, TN",39602
Midwest,Ohio,"Warren, OH",39562
Midwest,Indiana,"Westfield, IN",39493
South,Texas,"Duncanville, TX",39487
Northeast,Connecticut,"Norwich, CT",39470
Mountain,Utah,"Spanish Fork, UT",39443
Midwest,Missouri,"Wentzville, MO",39414
Midwest,Iowa,"Marion, IA",39400
South,Texas,"Lancaster, TX",39386
South,Maryland,"Annapolis, MD",39321
Pacific,Oregon,"Keizer, OR",39315
Pacific,California,"Culver City, CA",39283
Pacific,California,"Montclair, CA",39276
Midwest,Ohio,"Delaware, OH",39267
Mountain,Utah,"Herriman, UT",39224
Pacific,Oregon,"Lake Oswego, OR",39196
Pacific,California,"Los Banos, CA",39183
Midwest,Missouri,"Cape Girardeau, MO",39151
South,Tennessee,"Germantown, TN",39141
Pacific,California,"Pacifica, CA",39087
South,Texas,"Hurst, TX",39051
Mountain,New Mexico,"Clovis, NM",38962
Mountain,Colorado,"Northglenn, CO",38928
South,Georgia,"Milton, GA",38924
South,Georgia,"Newnan, GA",38909
Mountain,Utah,"Pleasant Grove, UT",38845
Midwest,Wisconsin,"Wausau, WI",38739
South,Florida,"Plant City, FL",38714
Mountain,Utah,"Roy, UT",38595
Pacific,California,"Stanton, CA",38528
Northeast,New Jersey,"Atlantic City, NJ",38429
Pacific,California,"Hollister, CA",38404
Pacific,California,"Martinez, CA",38373
Pacific,Washington,"Lynnwood, WA",38273
South,Tennessee,"Columbia, TN",38266
South,Florida,"Aventura, FL",38202
Midwest,Michigan,"Muskegon, MI",38131
South,Mississippi,"Tupelo, MS",38114
Midwest,Illinois,"Rock Island, IL",38110
South,Florida,"Lake Worth, FL",38107
Midwest,Wisconsin,"Brookfield, WI",38045
Midwest,Ohio,"Huber Heights, OH",37986
South,Mississippi,"Meridian, MS",37940
South,Oklahoma,"Muskogee, OK",37858
Midwest,Ohio,"Reynoldsburg, OH",37847
South,South Carolina,"Florence, SC",37778
Mountain,New Mexico,"Hobbs, NM",37764
South,Texas,"Rosenberg, TX",37661
Pacific,Washington,"Longview, WA",37602
Pacific,Oregon,"Grants Pass, OR",37579
South,Delaware,"Dover, DE",37538
South,South Carolina,"Spartanburg, SC",37498
Midwest,Illinois,"Park Ridge, IL",37494
Pacific,Washington,"Issaquah, WA",37487
South,Mississippi,"Olive Branch, MS",37435
South,Tennessee,"Gallatin, TN",37351
South,Texas,"Texarkana, TX",37333
Northeast,Massachusetts,"Braintree Town, MA",37156
Midwest,Ohio,"Lima, OH",37149
South,Texas,"Farmers Branch, TX",37088
Pacific,California,"West Hollywood, CA",37080
Pacific,California,"Monrovia, CA",37061
South,Florida,"Panama City, FL",36986
South,Texas,"San Juan, TX",36981
Pacific,California,"Wildomar, CA",36932
South,Arkansas,"Hot Springs, AR",36915
Midwest,Wisconsin,"Greenfield, WI",36827
Pacific,California,"Moorpark, CA",36802
Midwest,Minnesota,"Cottage Grove, MN",36793
Midwest,Wisconsin,"Beloit, WI",36773
Midwest,Indiana,"Portage, IN",36672
Midwest,Michigan,"Lincoln Park, MI",36655
South,Florida,"Winter Springs, FL",36635
Midwest,Illinois,"Calumet City, IL",36633
South,Florida,"Dunedin, FL",36545
Midwest,Indiana,"New Albany, IN",36461
South,Oklahoma,"Bartlesville, OK",36389
South,Georgia,"Rome, GA",36375
Pacific,California,"Temple City, CA",36367
Pacific,Oregon,"Oregon City, OR",36360
Midwest,Wisconsin,"Oak Creek, WI",36354
Midwest,Minnesota,"Roseville, MN",36314
Northeast,Maine,"Lewiston, ME",36221
South,Alabama,"Phenix City, AL",36219
South,Oklahoma,"Owasso, OK",36215
Midwest,Kansas,"Leavenworth, KS",36210
Midwest,Minnesota,"Richfield, MN",36151
Midwest,Wisconsin,"Franklin, WI",36143
South,Georgia,"Tucker, GA",36130
South,Florida,"Lauderdale Lakes, FL",36069
Pacific,California,"San Juan Capistrano, CA",36064
Pacific,California,"Claremont, CA",36015
South,Texas,"Del Rio, TX",36006
Midwest,Ohio,"Marion, OH",35997
Midwest,Ohio,"Hilliard, OH",35939
Pacific,California,"Manhattan Beach, CA",35924
South,Texas,"Lufkin, TX",35837
Midwest,Iowa,"Bettendorf, IA",35813
Pacific,California,"Bell, CA",35811
